concept,organization,country,year,area_ha_min,area_ha_max,crown_cover_min,crown_cover_max,height_m_min,height_m_max,width_m_min,width_m_max,definition_snippet
"basic terms, woods, woodland, other wooded lands (owl)",USA-FED-DI-BIA,,,,,5.0,,,,,,Forestland with less than 5% crown cover by commercial timber species
"basic terms, woods, woodland, other wooded lands (owl)",USA-FED-DI-GS,,,4.047,,,,,,,,"Woodland, which is defined as ""forest land,"" includes deciduous, evergreen, and mixed forest land, and orchards. The woodland data layer identifies deforestation or reforestation resulting from urbanization or conservation. The woodland is compiled using criteria based on tint and spectral reflectan"
"basic terms, woods, woodland, other wooded lands (owl)",USA-FED-DI-GS,,,,,,,10.0,,,,"Open formations of small to medium height trees; tree height over 10 m and tree cover generally between 50 and 75 percent; canopies are often contiguous, with open areas between trees; grass understory can be scattered to dense, often associated with other herbaceous plants"
"basic terms, woods, woodland, other wooded lands (owl)",USA-STATE-Arizona-Santa Cruz Country,,2008,,,10.0,60.0,,,,,Woodlands 10-60 % tree cover
"basic terms, woods, woodland, other wooded lands (owl)",USA-STATE-na-Board of Tax Review,India,,,,50.0,,,,,,Land that has at least 50% canopy cover qualifies as woodland for purposes of assessment. The amount of canopy cover usually is measured from aerial photographs
"basic terms, woods, woodland, other wooded lands (owl)",USA-STATE-TEXAS,,,,,100.0,,,,,,Woody plants mostly nine to 30 feet tall with closed crowns or nearly so (71 to 100 percent canopy cover); midstory usually lacking
"basic terms, woods, woodland, other wooded lands (owl)",USA-STATE-Virgin Island,,,,,25.0,50.0,,,,,"Open tree canopy, crowns not touching each other. Generally forming 25-50% tree cover"
"basic terms, woods, woodland, other wooded lands (owl)",,Vanuatu,,,,,,10.0,,,,"Trees with separated crowns, generally <10 m tall. A clearly visible layer of herbs and/or grasses. Source: Bellamy, J.A. Vanuatu Resource Information System. VANRIS Handbook. Via Adam Gerrand"
"basic terms, woods, woodland, other wooded lands (owl)",,Zimbabwe,2002,,,20.0,80.0,5.0,15.0,,,"Woodland Tree height 5-15m, canopy cover 20-80%"
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,49.0,,,,,,"20% to 49% trees. Source: Amreican Forests via Fleishman, Sandra. 2003. Why were the trees cut down? The Washington Post. Section F1,8-9. 28 June. Note: area with less than 20% trees are termed “Developed Acreage.”"
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,30.0,,,,,,"A forest with low tree densities, often defined as less than 20% to 30% crown cover when trees are mature"
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,35.0,,,,,,A plant community dominated by trees with over 35% canopy cover
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,,,18.0,,,,"A stand of trees, up to 18 m in height, with an open or continuous but not thickly interlaced canopy, sometimes with shrubs interspersed, and a canopy cover of more than 20%. Grasses and herbs dominate the ground cover; epiphytic ferns are rare. Often subject to periodic burning. Woodland thicket )-"
"basic terms, woods, woodland, other wooded lands (owl)","Timberlake, Nobanda & Mapaure, ; Pratt, Greenway & Gwynne,",,1993,,,20.0,80.0,18.0,,,,A woodland is a stand of trees up to 18m high with a canopy cover of 20-80%. Ground layer is dominated by grasses . (Isaac Mapaure. Researchgate. 23 Jan 2014).g
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,40.0,,8.0,,,,"An open stand of trees > 8 metres high and with a canopy cover of 40% or more, usually among grasses. Woodland is often described by its dominant species, for example, 'Acacia woodland', 'Acacia-Themeda woodland', 'Combretum woodland'"
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,50.0,,,,,,Any wooded areas having a canopy closure of 50% and greater
"basic terms, woods, woodland, other wooded lands (owl)",Köhl and Päivinen,,1996,0.5,,5.0,20.0,,,,,"Area with tree crown cover of 5-20% of the surface. Trees should be able to grow to a height of more than 7 m. Included are 1) the area with young trees or coppice able to form open forest in the future, 2) area of potentially open forest which is temporarily unstocked due to regeneration or damage."
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,26.0,60.0,,,,,"Areas dominated by trees with a total canopy cover of 26-60 %, most tree crowns not touching each other. An herbaceous or shrub understory, or both, are usually present. An open stand of trees, sometimes called ""open forest."""
"basic terms, woods, woodland, other wooded lands (owl)",en,,,,,,,5.0,,,,"Comprised of open stands of trees more than 5 meters tall with crowns not touching. Greater than 40% of the ground is covered by the tree canopy. Definitions for Mainly Evergreen Woodland, Mainly Deciduous Woodland, and Extremely Xeromorphic Woodland are similar to forest definitions with sparser st"
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,25.0,,,,,,"In the Preliminary Classification for Vegetation of Alaska, forest vegetation with 10 to 25% crown cover of the tree crowns"
"basic terms, woods, woodland, other wooded lands (owl)",or equivalent stocking level,,,0.5,,5.0,10.0,5.0,,20.0,,Land either with a tree crown cover of 5-10 percent of trees able to reach a height of 5 m at maturity in situ; or a crown cover (or equivalent stocking level) of more than 10 percent of trees not able to reach a height of 5 m a maturity in situ (e.g. dwarf or stunted trees) and shrub or bush cover.
"basic terms, woods, woodland, other wooded lands (owl)",Wt,,,,,,,20.0,,,,"Land supporting a stand of trees up to 20 m in height, with an open or continuous but not thickly interlaced canopy, and a canopy cover of not less than 20%. Shrubs, if present, constitute less than one-tenth of the canopy cover. Grasses and other herbs dominate the ground cover. Epiphytic ferns are"
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,25.0,60.0,,,,,"Open stands of tree species, 25-60% canopy cover"
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,,,5.0,,,,"Open stands of trees – Formed by trees at least 5 m tall, with most of their crowns not touching each other but covering at least 30% of the sky"
"basic terms, woods, woodland, other wooded lands (owl)",,,,5.0,,,,,,,,"Other wooded areas are the wooded formations of any kind less than 0,5 ha in size, as well as open woodlands having a crown density less than 20%, areas of brushwood, shrubland, stunted trees etc"
"basic terms, woods, woodland, other wooded lands (owl)",Päivinen et al,,1994,0.5,,,,,,,,"Other wooded land - Land under natural or planted stands of trees, whether productive or not and exceeding 0.5 ha in extent. It includes areas occupied by roads, small cleared tracts and other small open areas within the forest which constitute an integral part of the forest"
"basic terms, woods, woodland, other wooded lands (owl)",ToF,,,0.5,,,,,,,,"Trees outside forests . Trees and tree environments on lands not defined as forest or other wooded lands. Include: (a) groups of trees covering an area of less 0.5 ha, including lines and shelterbelts along infrastructure features and agricultural fields; (b) scattered trees in agricultural landscap"
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,40.0,,,,,,"Woodland - woody vegetation formations with scattered trees generally with less than 40% crown cover, also known as open forests"
"basic terms, woods, woodland, other wooded lands (owl)",Isaac Mapaure. Researchgate. 23 Jan,,2014,,,20.0,60.0,,,,,"Woodland, open- An open woodland - canopy cover of 20-60% and a well developed grass layer. .g"
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,50.0,100.0,,,,,"Woodlands - 50-100% tree canopy cover, and a graminaceous layer"
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,50.0,100.0,,,,,"have 50-100% tree canopy cover by trees, and a sometimes sparse, but always significant gramineous layer; Savannas have 10-50% cover by woody plants, and in the unexploited state, a well-developed grass layer"
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,20.0,,,,,,"Woodlands, open with less than 20% tree cover, often as small forest remnants scattered over the hill ranges; the domination is important: it indicates that these terrains, regardless of their administrative status, are used as grazing lands, and that their production potential for animal husbandry "
"basic terms, woods, woodland, other wooded lands (owl)",,,,,,40.0,,,,,,"formations with scattered trees, generally with less than 40% crown cover. Also known as open forests"
"basic terms, non-forest","FAO,",,2015,0.5,,,,5.0,,,,"Land considered as ""Other land"", that is predominantly agricultural or urban lands use and has patches of tree cover that span more than 0.5 hectares with a canopy cover of more than 10 percent of trees able to reach a height of 5 meters at maturity. It includes both forest and non-forest tree speci"
"basic terms, stocking (stand density, crown cover)",,Russian Federation,,1.0,,,,1.3,,,,Degree of a denseness of growing of trees in a tree stand describing a share of use by them of taken space. Usually under definition of stocking (polnota) understands a relative polnota of a tree stand - ratio of the sum of areas of cross-cuts of all trees of a tree stand at height of 1.3 meters (br
"basic terms, stocking (stand density, crown cover)",breast-height,,,1.0,,,,1.3,,,,"The sum of areas of cross-cuts of all trees of a tree stand at height of 1.3 meters on 1 ha' is basal area. [From: ""Maksym Polyakov"" <mpoliak@pcomp.usau.kiev.ua Date: Wed, 17 Jun 1998 11:20:37 +0300 (MSD)]"
